,Company Name,Industry,LastPrice,Change,%Chg,Mkt Cap(Rs cr)
1,Adani Ports,Transport Infrastructure,206.0,-50.4,-19.66,41854.09
2,Asian Paints,Paints,1500.95,-242.0,-13.88,143970.79
3,Axis Bank,Bank - Private,310.2,-117.95,-27.55,87521.11
4,Bajaj Auto,Automobile - 2 & 3 Wheelers,1941.95,-300.35,-13.39,56193.63
5,Bajaj Finance,Finance - NBFC,2282.45,-669.45,-22.68,137332.52
6,Bajaj Finserv,Finance - Investment,4739.95,-1493.1,-23.95,75430.28
7,Bharti Airtel,Telecommunication - Service Provider,408.2,-54.45,-11.77,222695.85
8,Bharti Infratel,Telecommunication - Equipment,143.4,-4.75,-3.21,26523.38
9,BPCL,Refineries,267.4,-50.45,-15.87,58005.82
10,Britannia,Consumer Food,2128.55,-339.25,-13.75,51184.88
11,Cipla,Pharmaceuticals & Drugs,375.5,-17.3,-4.4,30274.14
12,Coal India,Coal,128.6,-4.2,-3.16,79252.69
13,Dr Reddys Labs,Pharmaceuticals & Drugs,2764.45,-132.8,-4.58,45937.44
14,Eicher Motors,Automobile - LCVS/ HVCS,14110.65,-1567.8,-10.0,38529.8
15,GAIL,Gas Distribution,77.35,-3.45,-4.27,35184.0
16,Grasim,Diversified,433.7,-95.7,-18.08,28528.74
17,HCL Tech,IT Services & Consulting,419.8,-25.1,-5.64,113919.66
18,HDFC,Finance - Housing,1516.4,-237.55,-13.54,262637.02
19,HDFC Bank,Bank - Private,770.3,-112.55,-12.75,422377.56
20,Hero Motocorp,Automobile - 2 & 3 Wheelers,1606.05,-209.65,-11.55,32079.14
21,Hindalco,Iron & Steel,85.95,-19.55,-18.53,19306.28
22,HUL,Household & Personal Products,1861.8,-189.9,-9.26,403046.39
23,ICICI Bank,Bank - Private,284.5,-61.2,-17.7,184142.32
24,IndusInd Bank,Bank - Private,335.9,-104.45,-23.72,23295.87
25,Infosys,IT Services & Consulting,526.15,-59.05,-10.09,224076.61
26,IOC,Refineries,80.95,-9.65,-10.65,76207.62
27,ITC,Cigarettes/Tobacco,153.85,-21.65,-12.34,189115.98
28,JSW Steel,Iron & Steel,144.0,-31.75,-18.07,34807.97
29,Kotak Mahindra,Bank - Private,1090.55,-171.8,-13.61,208564.03
30,Larsen,Engineering & Construction,730.1,-134.6,-15.57,102498.16
31,M&M,Automobile - Auto & Truck Manufacturers,289.45,-33.15,-10.28,35984.21
32,Maruti Suzuki,Automobile - Passenger Cars,4249.85,-829.35,-16.33,128379.49
33,Nestle,Consumer Food,12925.0,-1220.5,-8.63,124617.31
34,NTPC,Power Generation/Distribution,76.15,-5.1,-6.28,75347.05
35,ONGC,Oil Exploration and Production,60.45,-11.9,-16.45,76047.79
36,Power Grid Corp,Power Generation/Distribution,152.4,-4.85,-3.08,79729.43
37,Reliance,Oil Exploration and Production,877.6,-140.35,-13.79,556334.12
38,SBI,Bank - Public,182.1,-27.75,-13.22,162517.18
39,Sun Pharma,Pharmaceuticals & Drugs,315.6,-49.65,-13.59,75723.01
40,Tata Motors,Automobile - LCVS/ HVCS,66.05,-11.25,-14.55,20402.66
41,Tata Steel,Iron & Steel,270.6,-27.15,-9.12,30482.81
42,TCS,IT Services & Consulting,1684.0,-113.45,-6.31,631901.58
43,Tech Mahindra,IT Services & Consulting,489.9,-86.45,-15.0,48320.24
44,Titan Company,Diamond  &  Jewellery,815.05,-89.85,-9.93,72359.01
45,UltraTechCement,Cement,3049.85,-524.0,-14.66,88025.83
46,UPL,Pesticides & Agrochemicals,255.15,-45.0,-14.99,19494.62
47,Vedanta,Metals - Non Ferrous,62.2,-13.25,-17.56,23120.96
48,Wipro,IT Services & Consulting,169.3,-9.9,-5.52,96727.14
49,Yes Bank,Bank - Private,39.75,-6.1,-13.3,49888.13
50,Zee Entertain,TV Broadcasting & Software Production,124.9,-20.0,-13.8,11996.44
